Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Alt Text,Gift Card,Google Shopping / MPN,Google Shopping / Age Group,Google Shopping / Gender,Google Shopping / Google Product Category,SEO Title,SEO Description,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code
32gb-ddr3-1333mhz-ecc-dimms-for-mac-pro,32GB DDR3 1333MHz ECC DIMMs for Mac Pro,"<p>32GB, PC3-10600, DDR3-1333, 1333Mhz, 8.5GB/s Bandwidth, CAS 9-9-9-24, 5ns Cycle Time, ECC, Dual Rank, RoHS Certified, 256x72, 1.5V, 240pin DIMMs. Contains one (1) 32GB DRAM memory module that is specifically designed and SPD configured for the Mac Pro 2013 ""Canister."" Note: <strong>Due to configuration of the 2013 Mac Pro processor, this module will register at a bus speed of 1066MHz.</strong></p>
<p>This Mac Pro DIMM includes the Apple Specified Thermal EPROM Sensor that is compatible with the latest <a href=""/pages/firmware-updates"">Apple Firmware.</a></p>
<p>This is a sale item. No additional promotions or discounts apply.</p>
<!-- split -->
<p>The following installation video covers the Mac Pro DDR3-1333.<br> <br><iframe src=""//www.youtube.com/embed/qKMnKekJMmw"" height=""225"" width=""400""></iframe> <br><br> Apple's user manual can provide you more details about 2010 Mac Pro Model 5,1. <a href=""http://manuals.info.apple.com/en_US/Mac_Pro_2009_2010_Memory_DIMMs_DIY.pdf"">Click here for Apple's installation guide (PDF.)</a></p>",Ramjet,CHILD,"bin-A3-19, zdataspeed-DDR3-1333Mhz",false,Title,Default,,,,,32GB1333-MP,18,,-2,continue,manual,283.33,,true,true,"",https://cdn.shopify.com/s/files/1/0197/5874/products/macpro1333x3829677_e98ff3ee-ba51-4507-91ee-e57b44c7bc7e.jpeg?v=1481919553,,false,688168676307,,,electronics > electronics accessories > memory > ram,,,,,,,mac pro,,,,,,lb,
16gb-ddr3-1866mhz-ecc-dimms-for-mac-pro,16GB DDR3 1866MHz ECC DIMMs for Mac Pro,"<p>16GB, PC3-14900, DDR3-1866, 1866Mhz, 8.5GB/s Bandwidth, CAS 7-7-7-20, ECC, Dual Rank, RoHS Certified, 512x72, Unbuffered, 1.5V, 240pin DIMMs. Contains one (1) 16GB DRAM memory module that is specifically designed and SPD configured for the 2013 Mac Pro Model.</p>
<p>This DIMM contains the Apple Specified Thermal EPROM Sensor.</p>
<!-- split -->
<h2 style=""font-size: 12pt; font-weight: bold;"">Installation Guide for 2013 Mac Pro RAM Upgrade</h2>
<p>The following installation video covers the Mac Pro DDR3-1866Mhz.<br> <br><iframe src=""//www.youtube.com/embed/lohBN8gUH8k"" height=""225"" width=""400""></iframe> <br><br> <img src=""//cdn.shopify.com/s/files/1/0197/5874/t/18/assets/2013macpro-sm.jpg?"" style=""float: left;""></p>
<p>Click here to find <a href=""http://support.apple.com/kb/HT6054"">Apple's installation guide</a> for the 2013 Mac Pro.</p>",Ramjet,CHILD,"bin-A3-18, zdataspeed-DDR3-1866Mhz",false,Title,Default,,,,,16GB1866-MP,18,,-20,continue,manual,116.33,,true,true,'688168676529,https://cdn.shopify.com/s/files/1/0197/5874/products/macpro18664GBx1_5a081198-f183-406c-85ae-ef08df7ab8c0.jpg?v=1481919419,,false,688168676529,,,electronics > electronics accessories > memory > ram,,,DIMM,DIMM,new,false,Mac Pro,,,,,,lb,
8gb-ddr3-1866mhz-ecc-dimms-for-mac-pro,8GB DDR3 1866MHz ECC DIMMs for Mac Pro,"<p>8GB, PC3-14900, DDR3-1866, 1866Mhz, 8.5GB/s Bandwidth, CAS 7-7-7-20, ECC, Dual Rank, RoHS Certified, 512x72, Unbuffered, 1.5V, 240pin DIMMs. Contains one (1) 8GB DRAM memory module that is specifically designed and SPD configured for the 2013 Mac Pro Model.</p>
<p>This DIMM contains the Apple Specified Thermal EPROM Sensor.</p>
<!-- split -->
<h2 style=""font-size: 12pt; font-weight: bold;"">Installation Guide for 2013 Mac Pro RAM Upgrade</h2>
<p>The following installation video covers the Mac Pro DDR3-1866Mhz.<br> <br><iframe src=""//www.youtube.com/embed/lohBN8gUH8k"" height=""225"" width=""400""></iframe> <br><br> <img src=""//cdn.shopify.com/s/files/1/0197/5874/t/18/assets/2013macpro-sm.jpg?"" style=""float: left;""></p>
<p>Click here to find <a href=""http://support.apple.com/kb/HT6054"">Apple's installation guide</a> for the 2013 Mac Pro.</p>",Ramjet,CHILD,"bin-A3-17, zdataspeed-DDR3-1866Mhz",false,Title,Default,,,,,8GB1866-MP,18,,-20,continue,manual,69.99,,true,true,'688168676529,https://cdn.shopify.com/s/files/1/0197/5874/products/macpro18664GBx1_64303236-162e-4655-a531-780d08e9c06b.jpg?v=1481918766,,false,688168676529,,,electronics > electronics accessories > memory > ram,,,DIMM,DIMM,new,false,Mac Pro,,,,,,lb,
4gb-ddr3-1866mhz-ecc-dimms-for-mac-pro,4GB DDR3 1866MHz ECC DIMMs for Mac Pro,"<b>Specifications:</b>
<p>4GB, PC3-14900, DDR3-1866, 1866Mhz, 8.5GB/s Bandwidth, CAS 7-7-7-20, ECC, Dual Rank, RoHS Certified, 512x72, Unbuffered, 1.5V, 240pin DIMMs. Contains one (1) 4GB DRAM memory module that is specifically designed and SPD configured for the 2013 Mac Pro Model.</p>
<p>This DIMM contains the Apple Specified Thermal EPROM Sensor.</p>
<!-- split -->
<h2 style=""font-size: 12pt; font-weight: bold;"">Installation Guide for 2013 Mac Pro RAM Upgrade</h2>
<p>The following installation video covers the Mac Pro DDR3-1866Mhz.<br> <br><iframe src=""//www.youtube.com/embed/lohBN8gUH8k"" height=""225"" width=""400""></iframe> <br><br> <img src=""//cdn.shopify.com/s/files/1/0197/5874/t/18/assets/2013macpro-sm.jpg?"" style=""float: left;""></p>
<p>Click here to find <a href=""http://support.apple.com/kb/HT6054"">Apple's installation guide</a> for the 2013 Mac Pro.</p>",Ramjet,CHILD,"bin-A3-16, zdataspeed-DDR3-1866Mhz",false,Title,Default,,,,,4GB1866-MP,18,,-20,continue,manual,34.99,,true,true,'688168676529,https://cdn.shopify.com/s/files/1/0197/5874/products/macpro18664GBx1_4af1d46d-fbf8-4d49-b4f7-5c4df2a9c501.jpg?v=1481918677,,false,688168676529,,,electronics > electronics accessories > memory > ram,,,DIMM,DIMM,new,false,Mac Pro,,,,,,lb,
16gb-ddr2-1333mhz-ecc-fb-dimms-for-mac-pro,16GB DDR3 1333MHz ECC DIMMs for Mac Pro,"<p><b>Specifications:</b></p>
<p>16GB, PC3-10600, DDR3-1333, 1333Mhz, 8.5GB/s Bandwidth, CAS 9-9-9-24, 5ns Cycle Time, ECC, Dual Rank, RoHS Certified, 256x72, 1.5V, 240pin DIMMs. Contains one (1) 16GB DRAM memory module that is specifically designed and SPD configured for the ""Westmere"" Mac Pro Model (4th Generation).</p>
<p>This Mac Pro DIMM includes the Apple Specified Thermal EPROM Sensor that is compatible with the latest <a href=""/pages/firmware-updates"">Apple Firmware.</a></p>
<p>This is a sale item. No additional promotions or discounts apply.</p>
<!-- split -->
<p>The following installation video covers the Mac Pro DDR3-1333.<br> <br><iframe src=""//www.youtube.com/embed/qKMnKekJMmw"" height=""225"" width=""400""></iframe> <br><br> Apple's user manual can provide you more details about 2010 Mac Pro Model 5,1. <a href=""http://manuals.info.apple.com/en_US/Mac_Pro_2009_2010_Memory_DIMMs_DIY.pdf"">Click here for Apple's installation guide (PDF.)</a></p>",Ramjet,CHILD,"bin-A3-13B, zdataspeed-DDR3-1333Mhz",false,Title,Default,,,,,16GB1333-MP,18,,-2,continue,manual,119.99,,true,true,"",https://cdn.shopify.com/s/files/1/0197/5874/products/macpro1333x3829677_9506212c-06ef-4a32-bb6e-96bcd4979327.jpeg?v=1481918319,,false,688168676307,,,electronics > electronics accessories > memory > ram,,,,,,,mac pro,,,,,,lb,
8gb-ddr2-1333mhz-ecc-fb-dimms-for-mac-pro,8GB DDR3 1333MHz ECC DIMMs for Mac Pro,"<p><b>Specifications:</b></p>
<p>8GB, PC3-10600, DDR3-1333, 1333Mhz, 8.5GB/s Bandwidth, CAS 9-9-9-24, 5ns Cycle Time, ECC, Dual Rank, RoHS Certified, 256x72, 1.5V, 240pin DIMMs. Contains one (1) 8GB DRAM memory module that is specifically designed and SPD configured for the ""Westmere"" Mac Pro Model (4th Generation).</p>
<p>This Mac Pro DIMM includes the Apple Specified Thermal EPROM Sensor that is compatible with the latest <a href=""/pages/firmware-updates"">Apple Firmware.</a></p>
<p>This is a sale item. No additional promotions or discounts apply.</p>
<!-- split -->
<p>The following installation video covers the Mac Pro DDR3-1333.<br> <br><iframe src=""//www.youtube.com/embed/qKMnKekJMmw"" height=""225"" width=""400""></iframe> <br><br> Apple's user manual can provide you more details about 2010 Mac Pro Model 5,1. <a href=""http://manuals.info.apple.com/en_US/Mac_Pro_2009_2010_Memory_DIMMs_DIY.pdf"">Click here for Apple's installation guide (PDF.)</a></p>",Ramjet,CHILD,"bin-A3-12, zdataspeed-DDR3-1333Mhz",false,Title,Default,,,,,8GB1333-MP,18,,-2,continue,manual,49.99,,true,true,"",https://cdn.shopify.com/s/files/1/0197/5874/products/macpro1333x3829677_83c4834c-9d26-4c8c-80c9-f5e0d0f8b92b.jpeg?v=1481918173,,false,688168676307,,,electronics > electronics accessories > memory > ram,,,,,,,mac pro,,,,,,lb,
4gb-ddr2-1333mhz-ecc-fb-dimms-for-mac-pro,4GB DDR3 1333MHz ECC DIMMs for Mac Pro,"<p><b>Specifications:</b></p>
<p>4GB, PC3-10600, DDR3-1333, 1333Mhz, 8.5GB/s Bandwidth, CAS 9-9-9-24, 5ns Cycle Time, ECC, Dual Rank, RoHS Certified, 256x72, 1.5V, 240pin DIMMs. Contains one (1) 4GB DRAM memory module and is specifically designed and SPD configured for the ""Westmere"" Mac Pro Model (4th Generation).</p>
<p>This Mac Pro DIMM include the Apple Specified Thermal EPROM Sensor that is compatible with the latest <a href=""/pages/firmware-updates"">Apple Firmware.</a></p>
<p>This is a sale item. No additional promotions or discounts apply.</p>
<!-- split -->
<p>The following installation video covers the Mac Pro DDR3-1333.<br> <br><iframe src=""//www.youtube.com/embed/qKMnKekJMmw"" height=""225"" width=""400""></iframe> <br><br> Apple's user manual can provide you more details about 2010 Mac Pro Model 5,1. <a href=""http://manuals.info.apple.com/en_US/Mac_Pro_2009_2010_Memory_DIMMs_DIY.pdf"">Click here for Apple's installation guide (PDF.)</a></p>",Ramjet,CHILD,"bin-A3-11, zdataspeed-DDR3-1333Mhz",false,Title,Default,,,,,4GB1333-MP,18,,-2,continue,manual,24.99,,true,true,"",https://cdn.shopify.com/s/files/1/0197/5874/products/macpro1333x3829677_d060fbc5-b7d8-4056-92df-0157e9aed940.jpeg?v=1481918092,,false,688168676307,,,electronics > electronics accessories > memory > ram,,,,,,,mac pro,,,,,,lb,
2gb-ddr2-1333mhz-ecc-fb-dimms-for-mac-pro,2GB DDR3 1333MHz ECC DIMMs for Mac Pro,"<p><b>Specifications:</b></p>
<p>2GB, PC3-10600, DDR3-1333, 1333Mhz, 8.5GB/s Bandwidth, CAS 9-9-9-24, 5ns Cycle Time, ECC, Dual Rank, RoHS Certified, 256x72, 1.5V, 240pin DIMMs. Contains one (1) 2GB DRAM memory module and is specifically designed and SPD configured for the ""Westmere"" Mac Pro Model (4th Generation).</p>
<p>This Mac Pro DIMM include the Apple Specified Thermal EPROM Sensor that is compatible with the latest <a href=""/pages/firmware-updates"">Apple Firmware.</a></p>
<p>This is a sale item. No additional promotions or discounts apply.</p>
<!-- split -->
<p>The following installation video covers the Mac Pro DDR3-1333.<br> <br><iframe src=""//www.youtube.com/embed/qKMnKekJMmw"" height=""225"" width=""400""></iframe> <br><br> Apple's user manual can provide you more details about 2010 Mac Pro Model 5,1. <a href=""http://manuals.info.apple.com/en_US/Mac_Pro_2009_2010_Memory_DIMMs_DIY.pdf"">Click here for Apple's installation guide (PDF.)</a></p>",Ramjet,CHILD,"bin-A3-10, zdataspeed-DDR3-1333Mhz",false,Title,Default,,,,,2GB1333-MP,18,,-2,continue,manual,15.79,,true,true,"",https://cdn.shopify.com/s/files/1/0197/5874/products/macpro1333x3829677_8ac44925-a9f4-4b4d-952a-f7f5157f3b27.jpeg?v=1481917970,,false,688168676307,,,electronics > electronics accessories > memory > ram,,,,,,,mac pro,,,,,,lb,
16gb-ddr2-1066mhz-ecc-fb-dimms-for-mac-pro,16GB DDR3 1066MHz ECC DIMMs for Mac Pro,"<p>16GB, PC3-8500, DDR3-1066, 1066Mhz, 8.5GB/s Bandwidth, CAS 7-7-7-20, 5ns Cycle Time, ECC, Dual Rank, RoHS Certified, 256x72, 1.5V, 240pin DIMM. Contains one (1) 16GB DRAM memory that is specifically designed and SPD configured for the ""Nehelam"" and ""Westmere"" Mac Pro Models (3rd Generation).</p>
<p>This Mac Pro DIMM includes the Apple Specified Thermal EPROM Sensor and is compatible with the latest <a href=""/pages/firmware-updates"">Apple Firmware.</a></p>
<p>This is a sale item. No additional promotions or discounts apply.</p>
<!-- split -->
<p>Watch our install video:<br> <iframe src=""//www.youtube.com/embed/qKMnKekJMmw"" allowfullscreen=""allowfullscreen"" frameborder=""0"" height=""220"" width=""380""></iframe> <br> or <a href=""http://manuals.info.apple.com/en_US/Mac_Pro_2009_2010_Memory_DIMMs_DIY.pdf"">click here for Apple's installation guide (PDF.)</a></p>",Ramjet,CHILD,"bin-A3-13, zdataspeed-DDR3-1066MHz",false,Title,Default,,,,,16GB1066-MP,18,,-11,continue,manual,119.33,,true,true,"",https://cdn.shopify.com/s/files/1/0197/5874/products/macpro1066x1_f81479a6-6500-4bd6-b0ae-aa96fac3259f.jpg?v=1481917277,,false,688168676697,,,electronics > electronics accessories > memory > ram,,,,,,,mac pro,,,,,,lb,
8gb-ddr2-1066mhz-ecc-fb-dimms-for-mac-pro,8GB DDR3 1066MHz ECC DIMMs for Mac Pro,"<p>8GB, PC3-8500, DDR3-1066, 1066Mhz, 8.5GB/s Bandwidth, CAS 7-7-7-20, 5ns Cycle Time, ECC, Dual Rank, RoHS Certified, 256x72, 1.5V, 240pin DIMM. Contains one (1) 8GB DRAM memory that is specifically designed and SPD configured for the ""Nehelam"" and ""Westmere"" Mac Pro Models (3rd Generation).</p>
<p>This Mac Pro DIMM includes the Apple Specified Thermal EPROM Sensor and is compatible with the latest <a href=""/pages/firmware-updates"">Apple Firmware.</a></p>
<p>This is a sale item. No additional promotions or discounts apply.</p>
<!-- split -->
<p>Watch our install video:<br> <iframe src=""//www.youtube.com/embed/qKMnKekJMmw"" allowfullscreen=""allowfullscreen"" frameborder=""0"" height=""220"" width=""380""></iframe> <br> or <a href=""http://manuals.info.apple.com/en_US/Mac_Pro_2009_2010_Memory_DIMMs_DIY.pdf"">click here for Apple's installation guide (PDF.)</a></p>",Ramjet,CHILD,"bin-A3-9B, zdataspeed-DDR3-1066MHz",false,Title,Default,,,,,8GB1066-MP,18,,-11,continue,manual,49.99,,true,true,"",https://cdn.shopify.com/s/files/1/0197/5874/products/macpro1066x1_e345dbb1-88c3-4940-b2dc-c0545d5cc534.jpg?v=1481917196,,false,688168676697,,,electronics > electronics accessories > memory > ram,,,,,,,mac pro,,,,,,lb,
